crim,rm,age,dis,tax,ptratio,lstat,medv
0.00632,6.5750,65.20,4.0900,296.0,15.30,4.98,24.00
0.02731,6.4210,78.90,4.9671,242.0,17.80,9.14,21.60
0.02729,7.1850,61.10,4.9671,242.0,17.80,4.03,34.70
0.03237,6.9980,45.80,6.0622,222.0,18.70,2.94,33.40
0.06905,7.1470,54.20,6.0622,222.0,18.70,5.33,36.20
0.02985,6.4300,58.70,6.0622,222.0,18.70,5.21,28.70
0.08829,6.0120,66.60,5.5605,311.0,15.20,12.43,22.90
0.14455,6.1720,96.10,5.9505,311.0,15.20,19.15,27.10
0.21124,5.6310,100.00,6.0821,311.0,15.20,29.93,16.50
0.17004,6.0040,85.90,6.5921,311.0,15.20,17.10,18.90
0.22489,6.3770,94.30,6.3467,311.0,15.20,20.45,15.00
0.11747,6.0090,82.90,6.2267,311.0,15.20,13.27,18.90
0.09378,5.8890,39.00,5.4509,311.0,15.20,15.71,21.70
0.62976,5.9490,61.80,4.7075,307.0,21.00,8.26,20.40
0.63796,6.0960,84.50,4.4619,307.0,21.00,10.26,18.20
0.62739,5.8340,56.50,4.4986,307.0,21.00,8.47,19.90
1.05393,5.9350,29.30,4.4986,307.0,21.00,6.58,23.10
0.78420,5.9900,81.70,4.2579,307.0,21.00,14.67,17.50
0.80271,5.4560,36.60,3.7965,307.0,21.00,11.69,20.20
0.72580,5.7270,69.50,3.7965,307.0,21.00,11.28,18.20
1.25179,5.5700,98.10,3.7979,307.0,21.00,21.02,13.60
0.85204,5.9650,89.20,4.0123,307.0,21.00,13.83,19.60
1.23247,6.1420,91.70,3.9769,307.0,21.00,18.72,15.20
0.98843,5.8130,100.00,4.0952,307.0,21.00,19.88,14.50
0.75026,5.9240,94.10,4.3996,307.0,21.00,16.30,15.60
0.84054,5.5990,85.70,4.4546,307.0,21.00,16.51,13.90
0.67191,5.8130,90.30,4.6820,307.0,21.00,14.81,16.60
0.95577,6.0470,88.80,4.4534,307.0,21.00,17.28,14.80
0.77299,6.4950,94.40,4.4547,307.0,21.00,12.80,18.40
